,Nom de l'article,Prix de l'article,Boutique,Nombre d'étoiles,Lien vers la page dédiée à l'article
0,Apple IPhone 13 - 128Go - Noire,419000,Boutique Officielle,4.5,https://www.jumia.ci//apple-iphone-13-128go-noire-19732039.html
1,Apple IPHONE 15-128Go Noir,589000,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15-128go-noir-27877429.html
2,Apple IPhone 13 ProMax-256Go Graphite,790000,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-13-promax-256go-graphite-19741037.html
3,Apple IPhone 15Pro-256Go Titane Blanc,809000,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15pro-256go-titane-blanc-27919774.html
4,"Apple IPHONE 15 PRO - 6.1"" Super Retina XDR OLED – 256GB - 5G – 3349 mAh - noir  - avec chargeur original - Garantie un an",713500,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15-pro-6.1-super-retina-xdr-oled-256gb-5g-3349-mah-noir-avec-chargeur-original-garantie-un-an-30081202.html
5,Apple IPHONE 15Pro-256Go Titane Naturel,795000,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15pro-256go-titane-naturel-27877425.html
7,"Apple IPHONE 15 PRO - 6.1"" Super Retina XDR OLED – 128GB - 5G – 3349 MAh - White - Avec Chargeur Original-  Garantie Un An",649800,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15-pro-6.1-super-retina-xdr-oled-128gb-5g-3349-mah-white-avec-chargeur-original-garantie-un-an-30081197.html
8,Apple IPHONE 15Plus-256Go Noir,729000,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15plus-256go-noir-27877420.html
9,Apple IPhone 15Pro-256Go Titane Bleu,795000,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15pro-256go-titane-bleu-27915418.html
10,"Apple IPHONE 15 PRO - 6.1"" Super Retina XDR OLED – 128GB - 5G – 3349 mAh - White - avec chargeur original-  Garantie un an",713500,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15-pro-6.1-super-retina-xdr-oled-128gb-5g-3349-mah-white-avec-chargeur-original-garantie-un-an-30081206.html
11,Apple IPhone 16 Pro Max ( 512 Go) - Titane Naturel,1220000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-max-512-go-titane-naturel-30103213.html
12,Apple IPhone 16 Pro Max ( 256 Go) - Titane Naturel,1070000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-max-256-go-titane-naturel-30103210.html
13,Apple IPHONE 16 128 GO NOIR,690000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-128-go-noir-30103182.html
14,Apple IPhone 16 Plus (256  Go) - Noir,890000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-plus-256-go-noir-30103193.html
15,Apple IPHONE 16 - 256 GO ROSE,790000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-256-go-rose-30103188.html
16,Apple IPhone 16 Pro Max  ( 256 Go) - Titane Sable,1070000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-max-256-go-titane-sable-30103208.html
17,Apple IPhone 16 Pro Max  ( 256 Go) - Titane Noir,1070000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-max-256-go-titane-noir-30103207.html
18,Apple IPHONE 16 -128 GO  Sarcelle,690000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-128-go-sarcelle-30103185.html
19,Apple IPhone 16 Pro Max ( 256 Go) - Titane Blanc,1070000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-max-256-go-titane-blanc-30103209.html
20,Apple IPhone 16 Plus (256 Go) - Rose,890000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-plus-256-go-rose-30103195.html
21,Apple IPhone 16 Pro ( 256 Go) - Titane Noir,990000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-256-go-titane-noir-30103199.html
22,Apple IPhone 16 Pro ( 256 Go) - Titane Naturel,990000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-256-go-titane-naturel-30103202.html
23,Apple IPhone 16 Pro (128Go) - Titane Blanc,890000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-128go-titane-blanc-30103197.html
24,Apple IPHONE 16 - 256 GO NOIR,790000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-256-go-noir-30103189.html
25,Apple IPhone 16 Pro (512 Go) - Titane Sable,1130000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-512-go-titane-sable-30103204.html
26,Apple IPHONE 16 -256 GO BLANC,790000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-256-go-blanc-30103187.html
27,Apple IPhone 16 Plus (128 Go) - Ultramarine,790000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-plus-128-go-ultramarine-30103194.html
28,Apple IPhone 16 Pro (128 Go) - Titane Naturel,890000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-128-go-titane-naturel-30103201.html
29,Apple IPHONE 16 - 256 GO  Ultramarine,790000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-256-go-ultramarine-30103190.html
30,Apple IPhone 16 Pro Max  ( 512 Go) - Titane Noir,1220000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-max-512-go-titane-noir-30103211.html
31,Apple IPhone 16 Pro (256 Go) - Titane Sable,990000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-256-go-titane-sable-30103205.html
32,Apple IPhone 16 Pro ( 256 Go) - Titane Blanc,990000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-256-go-titane-blanc-30103203.html
33,Apple IPhone 16 Plus (128 Go) - Rose,790000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-plus-128-go-rose-30103191.html
34,Apple IPhone 16 Pro Max  ( 512 Go) - Titane Sable,1220000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-max-512-go-titane-sable-30103212.html
35,Apple IPhone 16 Plus (128 Go) - Noir,790000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-plus-128-go-noir-30103192.html
36,Apple IPhone 16 Pro (128 Go) - Titane Sable,890000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-128-go-titane-sable-30103200.html
37,Apple IPHONE 16 -128 GO ROSE,690000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-128-go-rose-30103183.html
38,Apple IPhone 16 Pro ( 512 Go) - Titane Noir,1130000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-512-go-titane-noir-30103206.html
39,Apple IPHONE 16 -128 GO BLANC,690000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-128-go-blanc-30103184.html
40,Apple IPhone 16 Plus (256 Go) - Ultramarine,890000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-plus-256-go-ultramarine-30103198.html
41,Apple IPHONE 16 -128 GO  Ultramarine,690000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-128-go-ultramarine-30103186.html
42,Apple IPHONE 15Pro-128Go Titane Naturel,719000,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15pro-128go-titane-naturel-27877427.html
43,Apple IPHONE 15Plus-128Go Noir,649000,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15plus-128go-noir-27877424.html
